Usuario,Pregunta1,Pregunta2,Pregunta3,Pregunta4,Pregunta5,Pregunta6,Pregunta7,Pregunta8,Pregunta9,Pregunta10
Usuario1,4,5,5,1,5,1,1,3,4,5
Usuario2,5,2,1,3,2,1,4,5,2,5
Usuario3,5,4,1,4,1,1,2,3,3,3
Usuario4,2,1,2,4,4,3,1,3,4,5
Usuario5,2,1,3,4,2,5,1,1,5,5
Usuario6,3,3,4,5,4,3,3,5,2,4
Usuario7,1,1,1,1,1,1,1,2,4,5
Usuario8,5,4,5,3,1,1,2,4,5,1
Usuario9,1,5,2,5,5,3,5,5,3,4
Usuario10,2,5,3,2,3,2,5,1,2,4
Usuario11,5,1,3,3,1,4,3,5,4,2
Usuario12,2,1,1,3,5,5,3,3,5,3
Usuario13,3,3,3,5,3,1,4,5,5,5
Usuario14,1,1,4,3,3,2,4,3,4,3
Usuario15,2,4,2,5,5,4,1,2,2,2
Usuario16,2,2,1,1,4,4,2,2,4,1
Usuario17,4,3,1,5,1,5,2,4,5,5
Usuario18,4,5,4,5,2,5,2,4,4,1
Usuario19,3,3,4,5,2,5,1,5,3,1
Usuario20,1,5,5,4,2,3,1,1,4,3
Usuario21,4,3,1,3,1,2,4,1,4,3
Usuario22,5,2,3,5,3,3,2,3,2,1
Usuario23,2,4,2,1,2,3,5,3,2,1
Usuario24,5,3,2,2,1,5,2,2,2,4
Usuario25,2,3,3,2,4,2,5,1,4,4
Usuario26,5,5,4,1,5,4,5,5,5,4
Usuario27,1,2,2,5,3,1,3,2,2,5
Usuario28,3,1,1,1,3,4,2,4,1,4
Usuario29,2,4,5,1,1,3,3,3,2,4
Usuario30,1,2,2,4,4,1,2,5,3,4
Usuario31,4,4,1,5,2,1,4,2,4,1
Usuario32,4,1,3,4,4,2,3,4,3,4
Usuario33,3,4,3,5,1,3,4,3,2,5
Usuario34,2,5,1,3,2,3,3,2,2,4
Usuario35,2,3,4,4,5,2,2,3,3,1
Usuario36,4,5,5,4,5,3,3,3,2,1
Usuario37,3,5,3,2,1,4,5,3,5,5
Usuario38,1,2,2,2,5,3,4,1,3,5
Usuario39,4,3,3,4,4,5,5,2,3,3
Usuario40,2,2,3,3,1,5,1,5,2,1
Usuario41,2,1,4,2,2,4,4,1,2,3
Usuario42,3,5,2,4,2,2,1,4,1,5
Usuario43,4,4,3,3,2,3,4,2,2,5
Usuario44,1,1,5,3,2,4,2,1,3,5
Usuario45,3,1,5,1,4,1,4,5,3,1
Usuario46,3,4,1,4,4,1,3,4,2,3
Usuario47,2,5,1,2,1,1,3,2,1,4
Usuario48,3,3,1,2,1,4,4,1,1,1
Usuario49,3,5,3,1,5,2,1,4,4,3
Usuario50,2,4,1,5,5,4,3,5,3,5
Usuario51,3,1,2,3,1,2,1,4,2,1
Usuario52,5,5,3,1,2,2,2,4,3,5
Usuario53,1,3,1,1,1,3,2,3,5,1
Usuario54,2,1,5,5,4,2,2,1,4,5
Usuario55,4,2,3,1,2,2,5,2,3,2
Usuario56,2,4,5,4,2,5,2,4,5,1
Usuario57,1,2,2,1,2,3,1,3,4,5
Usuario58,2,3,1,3,3,3,1,5,2,4
Usuario59,1,3,4,1,4,1,3,5,1,4
Usuario60,1,4,4,3,1,2,1,4,5,1
Usuario61,2,4,2,4,2,5,4,5,1,3
Usuario62,1,2,4,5,4,5,4,1,2,1
Usuario63,3,4,5,5,1,4,2,4,4,1
Usuario64,1,2,4,4,1,4,5,5,1,5
Usuario65,3,3,4,4,2,3,3,4,2,5
Usuario66,2,2,2,1,2,4,1,1,3,5
Usuario67,1,1,1,5,5,2,2,1,4,1
Usuario68,4,1,4,4,3,2,1,4,3,3
Usuario69,3,4,1,3,3,4,3,5,5,5
Usuario70,2,4,4,4,1,3,3,5,2,1
Usuario71,2,1,5,5,1,5,2,4,5,1
Usuario72,3,2,1,5,3,5,4,2,1,3
Usuario73,2,2,5,3,2,3,4,3,1,3
Usuario74,1,4,2,3,2,4,2,2,2,3
Usuario75,5,4,1,2,4,4,3,2,2,4
Usuario76,5,4,1,5,1,4,4,2,5,5
Usuario77,4,3,3,1,4,5,5,3,5,2
Usuario78,1,1,1,5,1,1,2,1,1,4
Usuario79,5,5,1,4,2,4,5,1,3,2
Usuario80,4,3,4,5,2,4,1,4,5,5
Usuario81,3,4,2,2,4,5,3,1,4,5
Usuario82,3,2,3,3,3,2,2,5,2,1
Usuario83,5,5,4,1,1,2,4,4,5,2
Usuario84,4,3,1,5,3,3,2,4,4,5
Usuario85,4,3,5,3,2,2,4,5,5,1
Usuario86,2,4,1,4,4,2,5,2,4,2
Usuario87,3,4,1,5,3,1,5,2,4,1
Usuario88,1,2,3,3,3,3,5,2,2,4
Usuario89,1,2,5,2,2,3,3,1,5,5
Usuario90,1,2,1,4,1,3,3,4,1,1
Usuario91,2,5,1,2,4,3,2,4,5,5
Usuario92,3,5,3,5,2,4,2,1,5,1
Usuario93,4,2,3,3,5,5,4,5,2,3
Usuario94,3,1,1,3,2,2,4,2,5,5
Usuario95,4,1,5,4,2,3,4,1,2,5
Usuario96,2,1,4,1,2,5,2,3,5,3
Usuario97,1,3,3,1,5,4,5,4,2,1
Usuario98,4,1,5,3,2,4,4,4,3,5
Usuario99,5,3,4,4,4,5,1,3,3,3
Usuario100,1,2,3,2,5,2,4,4,2,4
Usuario101,5,5,4,4,2,3,1,5,1,4
Usuario102,1,1,5,1,1,1,5,3,1,5
Usuario103,3,5,1,4,5,4,1,2,1,1
Usuario104,5,5,5,3,1,5,1,3,1,1
Usuario105,1,1,5,3,2,3,1,2,2,4
Usuario106,3,3,4,5,4,5,1,4,4,2
Usuario107,5,1,4,4,4,5,2,4,4,2
Usuario108,4,5,2,3,2,5,5,1,2,3
Usuario109,3,2,1,3,1,5,2,1,3,4
Usuario110,5,1,2,3,1,2,2,1,5,5
Usuario111,1,5,1,3,2,2,1,2,4,3
Usuario112,4,1,1,3,2,1,4,2,1,4
Usuario113,3,2,1,1,3,4,5,5,4,5
Usuario114,3,2,3,2,1,1,5,3,1,2
Usuario115,1,2,4,4,3,4,5,4,3,5
Usuario116,4,2,3,2,3,5,4,2,1,1
Usuario117,1,3,3,3,2,3,2,1,4,5
Usuario118,4,3,2,5,4,4,1,5,5,4
Usuario119,5,1,5,1,5,5,1,3,3,3
Usuario120,3,5,5,1,2,2,1,4,1,5
Usuario121,5,4,3,1,3,5,2,3,3,4
Usuario122,1,3,5,3,4,4,5,3,3,3
Usuario123,1,5,2,1,1,1,3,3,3,4
Usuario124,3,4,4,4,2,3,5,2,4,1
Usuario125,3,3,5,5,5,1,3,4,2,1
Usuario126,3,2,3,1,2,5,5,3,4,5
Usuario127,4,3,4,5,4,4,4,2,1,1
Usuario128,4,5,5,2,2,4,3,3,3,4
Usuario129,3,5,1,1,3,1,4,4,2,3
Usuario130,4,2,3,5,5,3,3,2,3,4
Usuario131,1,3,5,1,5,2,3,4,1,4
Usuario132,3,1,2,5,4,4,2,3,4,1
Usuario133,2,2,3,1,1,5,3,1,1,2
Usuario134,4,5,3,5,4,3,4,5,5,2
Usuario135,3,5,3,3,4,2,3,5,5,2
Usuario136,3,1,1,3,4,4,4,5,3,2
Usuario137,3,5,3,4,1,2,3,5,1,4
Usuario138,1,4,3,3,4,1,2,4,4,5
Usuario139,1,1,5,3,2,4,4,1,5,5
Usuario140,2,1,5,4,4,1,4,3,5,1
Usuario141,5,2,2,3,4,3,4,4,2,5
Usuario142,3,1,5,1,2,3,3,3,2,1
Usuario143,5,4,5,5,2,1,4,5,1,5
Usuario144,5,1,2,5,3,1,3,4,5,1
Usuario145,3,1,4,2,2,5,2,2,5,3
Usuario146,3,5,5,2,4,2,5,3,1,1
Usuario147,3,3,5,3,5,1,5,2,2,3
Usuario148,2,5,2,1,2,2,1,3,3,1
Usuario149,4,1,5,1,4,3,2,2,3,1
Usuario150,4,1,1,3,4,1,5,1,1,5
Usuario151,2,4,4,3,1,1,5,1,4,4
Usuario152,4,2,1,1,5,3,5,1,3,5
Usuario153,1,1,5,1,4,1,3,4,4,1
Usuario154,5,5,1,3,4,1,3,4,2,2
Usuario155,1,1,2,3,5,4,4,5,2,1
Usuario156,5,5,1,3,3,5,4,3,2,5
Usuario157,3,4,3,2,5,4,5,4,2,4
